epoch,loss,val_loss
0,0.01798363290776809,0.01393741112947464
1,0.010965641458332539,0.009912806466221809
2,0.009754376720637083,0.011347702457010746
3,0.009068664643913508,0.009677770565450192
4,0.00854942360992233,0.008740185715258121
5,0.008213766728838284,0.008780324025452138
6,0.007949128196636835,0.00795133290141821
7,0.007715483958025774,0.008392406041920186
8,0.00752258773346742,0.007729591219127178
9,0.007360510281473398,0.008189792594313622
10,0.007203407300511996,0.007779251278936863
11,0.0070764162244896095,0.007734817104041576
12,0.006944692611942689,0.007639122641086579
13,0.006815099596232175,0.007731671510636806
14,0.006719705774635077,0.0074789580389857295
15,0.006617688718686501,0.008288418406248093
16,0.006528908883780241,0.007485420604050159
17,0.0064226636419693625,0.007582319959998131
18,0.006341976287712653,0.007602197703719139
19,0.006256265114992857,0.007721518661081791
